Name,Children,Parents,Role,Flow Behavior,Content Category,Notes,Batch,Ready
Table / TD Image,"Badge,Avatar,Button Inner,Icon,Image,Indicator,Loader",Table,Output,Fill,Object,,3,
Table / TH Text,"Badge,Avatar,Button Inner,Icon,Image,Indicator,Loader",Table,Output,Fill,Object,,1,checked
Table / TH Checkbox,"Checkbox,Toggle",Table,Output,Fill,Object,,1,checked
Tabs / Tab Item,"Badge,Avatar,Icon,Indicator,Tag,Loader","Tabs Horizontal,Tabs Vertical",Trigger,Fill,Object,,1,checked
Text Area,"Avatar,Badge,Button Inner,Chips,Icon,Indicator,Label,Link,Tag,Loader","Accordion / Container,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Input,Fill,Object,,1,checked
Accordion,"Accordion / Container,Accordion / Header","Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Toolbar,Fill,Widget,,1,checked
Alert,"Avatar,Badge,Button Basic,Button Inner,Button Dropdown,Button Group,Button Icon,Checkbox,Code Snippet,Icon,Image,Indicator,Input Text,Input Date,Input Search,Input Number,Input Color,Input Datetime,Input Email,Input Password,Input Time,Input Telephone,Input URL,Link,List,Multiselect,Person,Tag,Text Area,Loader,Tree,Toggle,Radio,Slider,Select,Scrollbar,Progress","Accordion / Container,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Output,Fill,Widget,,1,checked
Breadcrumbs,"Link,Icon","Accordion / Container,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Toolbar,Fill,Widget,,1,checked
Card,,"Accordion / Container,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Content,Fill,Widget,,4,
Carousel,,"Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Container,Fill,Widget,,6,
Charts,,"Accordion / Container,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Container,Fill,Widget,,6,
Code Editor,"Code Editor / Toolbar,Code Editor / Text Area","Accordion / Container,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Toolbar,Fill,Widget,,4,
Code Editor / Toolbar,,Code Editor,Toolbar,Fill,Widget,,4,
Code Snippet,,"Accordion / Container,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Output,Fill,Widget,,3,
Data Info,,"Accordion / Container,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Content,Fill,Widget,,2,
Event,,"Accordion / Container,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Content,Fill,Widget,,5,
Feature List,,"Accordion / Container,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Content,Fill,Widget,,6,
List,,"Accordion / Container,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Content,Fill,Widget,,4,
Metric,,"Accordion / Container,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Content,Fill,Widget,,5,
Pagination,,"Accordion / Container,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Toolbar,Fill,Widget,,1,checked
Person,,"Accordion / Container,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Content,Fill,Widget,,5,
Audio Player,,"Accordion / Container,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Toolbar,Fill,Widget,,6,
Popover,,,Output,"Fixed,Absolute",Widget,,2,
Queryfield,,"Accordion / Container,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Input,Fill,Widget,,4,
Steps,,"Accordion / Container,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Toolbar,Fill,Widget,,3,
Switcher,,"Accordion / Container,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Toolbar,Hug,Widget,,1,checked
Table Toolbar,,"Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Toolbar,Fill,Widget,,3,
Tabs Horizontal,Tabs / Tab Item,"Accordion / Container,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Toolbar,Fill,Widget,,1,checked
Tabs Vertical,Tabs / Tab Item,"Accordion / Container,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Toolbar,Fill,Widget,,2,
Toast,"Avatar,Badge,Button Basic,Button Inner,Button Dropdown,Button Group,Button Icon,Checkbox,Code Snippet,Icon,Image,Indicator,Input Text,Input Date,Input Search,Input Number,Input Color,Input Datetime,Input Email,Input Password,Input Time,Input Telephone,Input URL,Link,List,Multiselect,Person,Tag,Text Area,Loader,Tree,Toggle,Radio,Slider,Select,Scrollbar,Progress",,Output,"Fixed,Absolute",Widget,,2,
Tree,,"Accordion / Container,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Content,Fill,Widget,,4,
Uploader,,"Accordion / Container,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Input,Fill,Widget,,2,
Video Player,,"Accordion / Container,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Toolbar,Fill,Widget,,6,
Bottom Sheet,"Accordion,Alert,Asset,Avatar,Badge,Breadcrumbs,Button Basic,Button Dropdown,Button Group,Button Icon,Button Inner,Card,Carousel,Charts,Checkbox,Chips,Code Editor,Code Snippet,Data Info,Edit Mode / View,Edit Mode / Edit,Event,Feature List,Flex Layout,Icon,Image,Indicator,Input Text,Input Date,Input Search,Input Number,Input Color,Input Datetime,Input Email,Input Password,Input Time,Input Telephone,Input URL,Link,Pagination,Label,List,Logo,Loader,Slider,Metric,Person,Select,Select Cascade,Multiselect,Audio Player,Progress,Queryfield,Radio,Toggle,Switcher,Scrollbar,Skeleton Loader,Table Toolbar,Table,Steps,Tabs Horizontal,Tag,Video Player,Uploader,Tree,Text Area,Tabs Vertical",,Container,"Fill,Absolute",Layout,,7,
Flex Layout,"Accordion,Alert,Asset,Avatar,Badge,Breadcrumbs,Button Basic,Button Dropdown,Button Group,Button Icon,Button Inner,Card,Carousel,Charts,Checkbox,Chips,Code Editor,Code Snippet,Data Info,Edit Mode / View,Edit Mode / Edit,Event,Feature List,Flex Layout,Icon,Image,Indicator,Input Text,Input Date,Input Search,Input Number,Input Color,Input Datetime,Input Email,Input Password,Input Time,Input Telephone,Input URL,Link,Pagination,Label,List,Logo,Loader,Slider,Metric,Person,Select,Select Cascade,Multiselect,Audio Player,Progress,Queryfield,Radio,Toggle,Switcher,Scrollbar,Skeleton Loader,Table Toolbar,Table,Steps,Tabs Horizontal,Tag,Video Player,Uploader,Tree,Text Area,Tabs Vertical","Accordion / Container,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Container,Fill,Layout,,5,
Header,"Accordion,Alert,Asset,Avatar,Badge,Breadcrumbs,Button Basic,Button Dropdown,Button Group,Button Icon,Button Inner,Card,Carousel,Charts,Checkbox,Chips,Code Editor,Code Snippet,Data Info,Edit Mode / View,Edit Mode / Edit,Event,Feature List,Flex Layout,Icon,Image,Indicator,Input Text,Input Date,Input Search,Input Number,Input Color,Input Datetime,Input Email,Input Password,Input Time,Input Telephone,Input URL,Link,Pagination,Label,List,Logo,Loader,Slider,Metric,Person,Select,Select Cascade,Multiselect,Audio Player,Progress,Queryfield,Radio,Toggle,Switcher,Scrollbar,Skeleton Loader,Table Toolbar,Table,Steps,Tabs Horizontal,Tag,Video Player,Uploader,Tree,Text Area,Tabs Vertical",,Container,Fill,Layout,,6,
Hero,"Accordion,Alert,Asset,Avatar,Badge,Breadcrumbs,Button Basic,Button Dropdown,Button Group,Button Icon,Button Inner,Card,Carousel,Charts,Checkbox,Chips,Code Editor,Code Snippet,Data Info,Edit Mode / View,Edit Mode / Edit,Event,Feature List,Flex Layout,Icon,Image,Indicator,Input Text,Input Date,Input Search,Input Number,Input Color,Input Datetime,Input Email,Input Password,Input Time,Input Telephone,Input URL,Link,Pagination,Label,List,Logo,Loader,Slider,Metric,Person,Select,Select Cascade,Multiselect,Audio Player,Progress,Queryfield,Radio,Toggle,Switcher,Scrollbar,Skeleton Loader,Table Toolbar,Table,Steps,Tabs Horizontal,Tag,Video Player,Uploader,Tree,Text Area,Tabs Vertical",,Container,Fill,Layout,,6,
Modal,"Accordion,Alert,Asset,Avatar,Badge,Breadcrumbs,Button Basic,Button Dropdown,Button Group,Button Icon,Button Inner,Card,Carousel,Charts,Checkbox,Chips,Code Editor,Code Snippet,Data Info,Edit Mode / View,Edit Mode / Edit,Event,Feature List,Flex Layout,Icon,Image,Indicator,Input Text,Input Date,Input Search,Input Number,Input Color,Input Datetime,Input Email,Input Password,Input Time,Input Telephone,Input URL,Link,Pagination,Label,List,Logo,Loader,Slider,Metric,Person,Select,Select Cascade,Multiselect,Audio Player,Progress,Queryfield,Radio,Toggle,Switcher,Scrollbar,Skeleton Loader,Table Toolbar,Table,Steps,Tabs Horizontal,Tag,Video Player,Uploader,Tree,Text Area,Tabs Vertical",,Container,"Fixed,Absolute",Layout,,1,checked
Side Panel,"Accordion,Alert,Asset,Avatar,Badge,Breadcrumbs,Button Basic,Button Dropdown,Button Group,Button Icon,Button Inner,Card,Carousel,Charts,Checkbox,Chips,Code Editor,Code Snippet,Data Info,Edit Mode / View,Edit Mode / Edit,Event,Feature List,Flex Layout,Icon,Image,Indicator,Input Text,Input Date,Input Search,Input Number,Input Color,Input Datetime,Input Email,Input Password,Input Time,Input Telephone,Input URL,Link,Pagination,Label,List,Logo,Loader,Slider,Metric,Person,Select,Select Cascade,Multiselect,Audio Player,Progress,Queryfield,Radio,Toggle,Switcher,Scrollbar,Skeleton Loader,Table Toolbar,Table,Steps,Tabs Horizontal,Tag,Video Player,Uploader,Tree,Text Area,Tabs Vertical",,Container,"Fixed,Absolute",Layout,,2,
Side Panel Menu,"Accordion,Alert,Asset,Avatar,Badge,Breadcrumbs,Button Basic,Button Dropdown,Button Group,Button Icon,Button Inner,Card,Carousel,Charts,Checkbox,Chips,Code Editor,Code Snippet,Data Info,Edit Mode / View,Edit Mode / Edit,Event,Feature List,Flex Layout,Icon,Image,Indicator,Input Text,Input Date,Input Search,Input Number,Input Color,Input Datetime,Input Email,Input Password,Input Time,Input Telephone,Input URL,Link,Pagination,Label,List,Logo,Loader,Slider,Metric,Person,Select,Select Cascade,Multiselect,Audio Player,Progress,Queryfield,Radio,Toggle,Switcher,Scrollbar,Skeleton Loader,Table Toolbar,Table,Steps,Tabs Horizontal,Tag,Video Player,Uploader,Tree,Text Area,Tabs Vertical",,Toolbar,Fixed,Layout,,6,
Table,"Table / TD Text,Table / TD Link,Table / TD Boolean,Table / TD Tags,Table / TD Actions,Table / TD Expand,Table / TD Checkbox,Table / TD Person,Table / TD Image,Table / TH Text,Table / TH Checkbox","Accordion / Container,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Container,Fill,Layout,,1,
